query no	Document_name	Rank
20	Politics/4740.txt	2
20	Politics/5523.txt	2
20	Politics/1608.txt	1
20	Politics/1643.txt	1
20	Politics/2464.txt	1
20	Politics/2643.txt	1
20	Politics/3102.txt	1
20	Politics/3805.txt	1
20	Politics/5213.txt	1
21	Religion/0002.txt	5
21	Religion/0322.txt	5
21	Religion/6371.txt	5
21	Religion/0505.txt	4
21	Religion/4002.txt	3
21	Religion/4150.txt	3
21	Religion/5931.txt	3
22	Religion/4225.txt	5
22	Religion/4819.txt	5
22	Religion/5678.txt	5
22	Religion/6266.txt	5
22	Religion/1552.txt	4
22	Religion/5245.txt	4
22	Religion/6096.txt	4
22	Religion/0429.txt	3
22	Religion/4365.txt	3
22	Religion/3100.txt	2
22	Religion/3126.txt	1
22	Religion/4766.txt	1
23	Religion/2043.txt	5
23	Religion/3365.txt	5
23	Religion/3353.txt	4
23	Religion/3527.txt	3
23	Religion/4796.txt	2
24	Religion/0220.txt	5
24	Religion/0272.txt 	5
24	Religion/3904.txt	5
24	Religion/2049.txt	4
24	Religion/3614.txt	4
24	Religion/4146.txt 	4
24	Religion/5848.txt	4
24	Religion/6346.txt	4
24	Religion/6418.txt	4
24	Religion/1394.txt	3
24	Religion/1122.txt	1
25	Religion/0115.txt	5
25	Religion/3976.txt	4
25	Religion/5743.txt	4
25	Religion/0350.txt	1
26	Sports/1180.txt	5
26	Sports/3743.txt	5
26	Sports/3987.txt	5
26	Sports/4765.txt	5
26	Sports/6074.txt	5
26	Sports/1008.txt	4
26	Sports/4968.txt	4
26	Sports/3299.txt	3
26	Sports/1910.txt	2
26	Sports/4029.txt	2
26	Sports/4626.txt	2
26	Sports/2747.txt	1
27	Sports/1394.txt	5
27	Sports/2834.txt	5
27	Sports/3055.txt	5
27	Sports/3397.txt	5
27	Sports/1283.txt	4
27	Sports/1575.txt	4
27	Sports/2572.txt	4
27	Sports/5226.txt	4
27	Sports/5299.txt	4
27	Sports/0156.txt	3
27	Sports/3443.txt	3
27	Sports/4194.txt	3
27	Sports/5480.txt	3
27	Sports/0150.txt	1
27	Sports/3723.txt	1
27	Sports/3820.txt	1
28	Sports/0226.txt	5
28	Sports/2232.txt	5
28	Sports/2439.txt	5
28	Sports/2593.txt	5
28	Sports/3029.txt	5
28	Sports/3195.txt	5
28	Sports/3548.txt	5
28	Sports/6099.txt	5
28	Sports/1579.txt	3
28	Sports/5857.txt	1
29	Sports/3350.txt	5
29	Sports/5974.txt	5
29	Sports/3866.txt	4
29	Sports/5128.txt	3
29	Sports/6279.txt	2
29	Sports/1557.txt	1
29	Sports/4231.txt	1
29	Sports/5291.txt	1
30	Sports/6005.txt	5
30	Sports/4843.txt	4
30	Sports/6388.txt	3
30	Sports/4510.txt	2
30	Sports/0871.txt	1
31	Tech/0036.txt	5
31	Tech/0279.txt	4
31	Tech/1650.txt	4
31	Tech/5080.txt	4
31	Tech/0061.txt	3
31	Tech/1242.txt	3
31	Tech/4083.txt	3
31	Tech/0561.txt	2
31	Tech/0990.txt	2
31	Tech/2591.txt	2
31	Tech/4393.txt	2
31	Tech/6284.txt	2
31	Tech/0775.txt	1
31	Tech/2656.txt	1
31	Tech/2766.txt	1
31	Tech/2930.txt	1
31	Tech/3338.txt	1
31	Tech/3689.txt	1
31	Tech/3835.txt	1
31	Tech/3981.txt	1
31	Tech/5873.txt	1
32	Tech/1152.txt	5
32	Tech/5614.txt	5
32	Tech/0682.txt	4
32	Tech/4542.txt	4
32	Tech/5838.txt	4
32	Tech/0797.txt	3
32	Tech/0957.txt	3
32	Tech/3611.txt	3
32	Tech/2331.txt	2
32	Tech/2368.txt	2
32	Tech/0853.txt	1
32	Tech/4747.txt	1
32	Tech/4855.txt	1
33	Tech/4796.txt	5
33	Tech/2098.txt	4
33	Tech/2112.txt	4
33	Tech/3377.txt	3
33	Tech/3929.txt	3
33	Tech/4623.txt	1
33	Tech/4779.txt	1
33	Tech/6306.txt	1
34	Tech/1993.txt	5
34	Tech/2161.txt	5
34	Tech/4042.txt	5
34	Tech/4444.txt	5
34	Tech/0753.txt	4
34	Tech/0011.txt	3
34	Tech/2427.txt	3
34	Tech/0916.txt	2
34	Tech/1802.txt	2
34	Tech/0773.txt	1
34	Tech/0926.txt	1
34	Tech/4224.txt	1
34	Tech/6303.txt	1
34	Tech/6479.txt	1
35	Tech/0368.txt	5
35	Tech/1294.txt	5
35	Tech/2870.txt	5
35	Tech/4702.txt	5
35	Tech/6305.txt	5
35	Tech/5532.txt	2
